Group,Q2,Q3,Q4,Q5,Q6,Q7
25639,3,3,Organic,Socks that change colour so you never wear mismatched socks again,3,Yes
268,5,5,Hydroponics,Socks that never get holes,5,Yes
5389,6,5,Moonlight Harvest,Socks that change colour so you never wear mismatched socks again,6,Yes
201,5,5,Organic,Anti-sweat technology,5,Yes
22593,5,5,Organic,Anti-sweat technology,6,Yes
17832,2,3,Organic,Anti-sweat technology,3,No
8394,3,4,Hydroponics,Anti-sweat technology,4,No
827,3,2,Organic,Socks that change colour so you never wear mismatched socks again,3,No
584,6,6,Conventional Farming,Sock bands that always stay up,6,Yes
873,2,2,Organic,Anti-sweat technology,3,No
1458,5,5,Organic,Anti-sweat technology,6,Yes
67222,6,5,Organic,Unsure,6,Yes
785,3,4,Moonlight Harvest,Anti-sweat technology,4,No
3496,3,4,Organic,Anti-sweat technology,4,Yes
39255,6,6,Hydroponics,Unsure,6,No
215,3,2,Organic,Unsure,2,No
387144,6,6,Organic,Anti-sweat technology,5,Yes
655338,4,4,Conventional Farming,Anti-sweat technology,4,Yes
97138,4,3,Conventional Farming,Anti-sweat technology,3,Yes
313,2,2,Conventional Farming,Unsure,3,No
9866,4,4,Organic,Unsure,3,Yes
79218,5,6,Moonlight Harvest,Anti-sweat technology,5,Yes
5847,5,6,Organic,Anti-sweat technology,5,No
7098,4,3,Organic,Anti-sweat technology,3,No
432,3,3,Organic,Anti-sweat technology,3,No
3863,3,4,Moonlight Harvest,Anti-sweat technology,3,No
857,5,5,Moonlight Harvest,Anti-sweat technology,4,Yes
755,3,2,Organic,Anti-sweat technology,3,No
70929,3,4,Hydroponics,Unsure,3,Yes
708,3,3,Organic,Anti-sweat technology,3,Yes
130,5,6,Conventional Farming,Anti-sweat technology,6,Yes
795171,2,3,Organic,Sock bands that always stay up,2,Yes
608198,6,5,Hydroponics,Socks that change colour so you never wear mismatched socks again,4,No
495,5,5,Conventional Farming,Anti-sweat technology,6,Yes
45630,5,5,Organic,Anti-sweat technology,7,Yes
82057,5,6,Moonlight Harvest,Unsure,5,No
924,3,2,Organic,Anti-sweat technology,3,No
32902,4,3,Organic,Socks that never get holes,3,Yes
1011,4,4,Conventional Farming,Anti-sweat technology,3,Yes
696,6,6,Organic,Socks that change colour so you never wear mismatched socks again,6,Yes
1706,4,5,Organic,Anti-sweat technology,5,No
801950,6,6,Hydroponics,Socks that never get holes,5,Yes
46056,3,4,Organic,Socks that never get holes,3,No
742,6,5,Moonlight Harvest,Anti-sweat technology,5,Yes
66742,5,5,Moonlight Harvest,Unsure,5,Yes
612596,4,4,Hydroponics,Anti-sweat technology,5,No
6780,3,4,Organic,Socks that never get holes,5,No
32955,4,3,Organic,Anti-sweat technology,4,Yes
68359,4,4,Conventional Farming,Anti-sweat technology,3,Yes
50390,4,4,Organic,Socks that never get holes,4,Yes
1069,4,4,Moonlight Harvest,Anti-sweat technology,3,No
509489,2,2,Organic,Anti-sweat technology,3,No
3436,3,3,Organic,Anti-sweat technology,3,No
178,5,4,Organic,Socks that never get holes,4,No
455975,4,5,Moonlight Harvest,Anti-sweat technology,5,No
188,6,6,Organic,Socks that never get holes,6,Yes
597136,3,2,Conventional Farming,Socks that never get holes,2,No
9577,4,4,Moonlight Harvest,Socks that never get holes,3,Yes
44116,6,6,Organic,Anti-sweat technology,6,Yes
760933,6,4,Organic,Socks that never get holes,5,No
5172,4,3,Organic,Anti-sweat technology,5,Yes
5841,5,5,Organic,Socks that never get holes,5,Yes
882150,6,6,Organic,Anti-sweat technology,5,Yes
123,5,5,Organic,Anti-sweat technology,5,No
8422,4,3,Moonlight Harvest,Socks that never get holes,3,Yes
124,5,4,Organic,Anti-sweat technology,4,No
726,4,4,Conventional Farming,Sock bands that always stay up,5,Yes
53541,6,6,Organic,Socks that never get holes,5,Yes
262,5,6,Conventional Farming,Socks that change colour so you never wear mismatched socks again,6,Yes
239,4,5,Organic,Anti-sweat technology,5,No
959,2,3,Organic,Socks that change colour so you never wear mismatched socks again,3,Yes
32092,6,5,Hydroponics,Anti-sweat technology,6,Yes
457,4,2,Moonlight Harvest,Anti-sweat technology,3,No
268988,4,5,Conventional Farming,Anti-sweat technology,5,No
28194,5,6,Organic,Socks that change colour so you never wear mismatched socks again,6,No
57490,3,3,Moonlight Harvest,Socks that change colour so you never wear mismatched socks again,4,Yes
6007,3,4,Organic,Anti-sweat technology,3,No
486,5,4,Conventional Farming,Anti-sweat technology,5,Yes
3751,5,4,Conventional Farming,Unsure,4,Yes
56951,3,3,Organic,Socks that never get holes,4,No
61639,3,4,Moonlight Harvest,Anti-sweat technology,4,Yes
278,5,4,Moonlight Harvest,Socks that never get holes,5,No
55531,3,4,Organic,Socks that change colour so you never wear mismatched socks again,4,No
998854,6,5,Organic,Anti-sweat technology,4,Yes
173,2,2,Moonlight Harvest,Anti-sweat technology,2,No
3873,5,5,Organic,Anti-sweat technology,5,Yes
62688,4,4,Organic,Anti-sweat technology,3,Yes
18688,5,4,Organic,Unsure,5,No
67831,4,3,Organic,Unsure,3,Yes
303496,4,4,Moonlight Harvest,Anti-sweat technology,5,Yes
522772,4,5,Moonlight Harvest,Anti-sweat technology,5,Yes
3925,5,6,Moonlight Harvest,Anti-sweat technology,6,Yes
95906,3,3,Organic,Anti-sweat technology,5,Yes
6391,4,3,Organic,Anti-sweat technology,4,No
39143,5,6,Moonlight Harvest,Anti-sweat technology,5,Yes
604,5,4,Moonlight Harvest,Anti-sweat technology,4,No
16599,3,3,Conventional Farming,Anti-sweat technology,3,No
93434,6,5,Conventional Farming,Anti-sweat technology,6,No
2142,5,5,Organic,Anti-sweat technology,4,Yes
667684,6,6,Organic,Anti-sweat technology,6,Yes
2434,4,4,Conventional Farming,Anti-sweat technology,4,No
11451,4,2,Organic,Anti-sweat technology,4,Yes
76241,5,6,Organic,Socks that change colour so you never wear mismatched socks again,5,No
92390,5,7,Organic,Socks that never get holes,5,Yes
572819,3,3,Organic,Socks that never get holes,2,No
95442,3,3,Moonlight Harvest,Socks that change colour so you never wear mismatched socks again,4,No
3620,4,5,Organic,Anti-sweat technology,4,No
74483,4,3,Organic,Socks that never get holes,3,Yes
243,6,5,Organic,Sock bands that always stay up,6,Yes
17480,6,5,Organic,Sock bands that always stay up,5,Yes
5432,6,5,Organic,Anti-sweat technology,6,No
816921,3,3,Hydroponics,Anti-sweat technology,3,Yes
71407,5,4,Organic,Anti-sweat technology,5,Yes
121,6,6,Organic,Anti-sweat technology,6,No
1205,3,3,Moonlight Harvest,Anti-sweat technology,4,No
5183,6,5,Hydroponics,Socks that never get holes,5,Yes
286,5,4,Organic,Anti-sweat technology,5,No
116068,4,5,Organic,Socks that change colour so you never wear mismatched socks again,4,Yes
512,6,5,Hydroponics,Sock bands that always stay up,6,Yes
4830,6,6,Organic,Unsure,6,Yes
639071,2,2,Hydroponics,Anti-sweat technology,3,Yes
469212,4,5,Moonlight Harvest,Anti-sweat technology,5,No
328171,5,7,Hydroponics,Sock bands that always stay up,6,Yes
261,2,3,Organic,Unsure,2,Yes
274,5,5,Moonlight Harvest,Socks that change colour so you never wear mismatched socks again,6,Yes
12238,6,7,Organic,Sock bands that always stay up,5,Yes
445483,3,2,Moonlight Harvest,Socks that change colour so you never wear mismatched socks again,2,Yes
3449,3,3,Organic,Socks that never get holes,3,Yes
7422,5,5,Conventional Farming,Anti-sweat technology,6,No
57688,3,3,Conventional Farming,Socks that never get holes,3,No
887878,2,2,Organic,Anti-sweat technology,4,Yes
9098,4,4,Conventional Farming,Socks that change colour so you never wear mismatched socks again,4,Yes
54052,3,4,Organic,Socks that never get holes,2,Yes
548,2,3,Hydroponics,Socks that change colour so you never wear mismatched socks again,2,Yes
56577,5,6,Conventional Farming,Anti-sweat technology,6,Yes
38050,5,6,Hydroponics,Anti-sweat technology,7,Yes
4518,5,7,Organic,Socks that never get holes,6,Yes
839618,2,3,Organic,Socks that change colour so you never wear mismatched socks again,2,No
8383,6,6,Organic,Anti-sweat technology,5,Yes
14059,6,5,Organic,Sock bands that always stay up,6,Yes
431210,2,3,Hydroponics,Socks that never get holes,3,No
997461,2,3,Moonlight Harvest,Socks that change colour so you never wear mismatched socks again,3,No
1414,4,4,Moonlight Harvest,Sock bands that always stay up,3,No
914,3,2,Hydroponics,Sock bands that always stay up,4,Yes
40837,5,6,Organic,Anti-sweat technology,5,Yes
4226,6,6,Organic,Socks that never get holes,5,Yes
52664,3,4,Organic,Socks that never get holes,3,Yes
15691,6,6,Moonlight Harvest,Socks that never get holes,5,Yes
43063,5,6,Conventional Farming,Sock bands that always stay up,5,Yes
1305,4,4,Conventional Farming,Socks that never get holes,3,Yes
78300,6,6,Moonlight Harvest,Anti-sweat technology,6,Yes
798,5,5,Organic,Socks that never get holes,5,Yes
47750,4,3,Conventional Farming,Unsure,4,No
560709,5,5,Moonlight Harvest,Anti-sweat technology,5,Yes
967,5,6,Moonlight Harvest,Socks that never get holes,5,No
9484,3,4,Organic,Socks that never get holes,3,Yes
417176,4,4,Hydroponics,Anti-sweat technology,3,No
3847,3,4,Organic,Socks that change colour so you never wear mismatched socks again,4,No
519,5,5,Conventional Farming,Sock bands that always stay up,4,No
67763,5,5,Organic,Sock bands that always stay up,5,Yes
891,5,6,Conventional Farming,Socks that change colour so you never wear mismatched socks again,5,Yes
56034,4,3,Organic,Socks that never get holes,3,Yes
20799,5,5,Hydroponics,Unsure,5,Yes
3908,4,3,Organic,Unsure,4,Yes
575,6,5,Organic,Anti-sweat technology,5,No
809,6,5,Hydroponics,Anti-sweat technology,6,Yes
947562,4,5,Moonlight Harvest,Sock bands that always stay up,5,No
86761,2,3,Organic,Unsure,3,Yes
759209,6,6,Organic,Sock bands that always stay up,5,Yes
63212,5,4,Organic,Anti-sweat technology,6,Yes
131883,3,3,Hydroponics,Unsure,3,Yes
83133,3,3,Organic,Anti-sweat technology,4,Yes
126,5,4,Moonlight Harvest,Anti-sweat technology,4,No
694,2,3,Conventional Farming,Anti-sweat technology,3,Yes
2576,5,6,Moonlight Harvest,Sock bands that always stay up,5,Yes
387782,3,3,Organic,Sock bands that always stay up,2,Yes
6901,6,6,Hydroponics,Anti-sweat technology,6,Yes
835193,1,2,Conventional Farming,Unsure,2,No
17921,3,4,Moonlight Harvest,Anti-sweat technology,3,No
69865,4,3,Conventional Farming,Unsure,3,No
7478,7,5,Organic,Anti-sweat technology,5,Yes
615,3,2,Organic,Sock bands that always stay up,3,No
5961,5,4,Hydroponics,Anti-sweat technology,4,No
569,2,3,Organic,Unsure,2,No
747850,5,5,Hydroponics,Socks that never get holes,4,Yes
9013,6,6,Organic,Anti-sweat technology,5,No
879644,5,4,Organic,Unsure,4,Yes
83095,5,6,Hydroponics,Socks that never get holes,6,No
4436,4,3,Organic,Socks that never get holes,4,No
229,4,3,Hydroponics,Sock bands that always stay up,2,No
68493,4,3,Organic,Anti-sweat technology,3,No
570,2,3,Moonlight Harvest,Anti-sweat technology,2,No
32289,6,6,Hydroponics,Anti-sweat technology,6,Yes
834008,5,6,Organic,Sock bands that always stay up,5,Yes
285738,3,3,Hydroponics,Socks that change colour so you never wear mismatched socks again,2,Yes
603341,5,4,Organic,Unsure,4,No
6220,4,4,Moonlight Harvest,Socks that never get holes,4,No
882828,3,3,Moonlight Harvest,Socks that never get holes,3,No
1901,5,6,Organic,Socks that never get holes,5,Yes
4395,3,4,Organic,Sock bands that always stay up,3,Yes
531,5,4,Hydroponics,Unsure,5,No
544,3,3,Hydroponics,Anti-sweat technology,2,No
1140,5,5,Organic,Sock bands that always stay up,5,Yes
487051,4,5,Hydroponics,Socks that change colour so you never wear mismatched socks again,5,No
288,5,5,Organic,Anti-sweat technology,5,Yes
141,2,3,Hydroponics,Sock bands that always stay up,3,No
814,4,4,Moonlight Harvest,Socks that change colour so you never wear mismatched socks again,5,Yes
6546,4,2,Organic,Socks that change colour so you never wear mismatched socks again,4,No
3239,4,5,Hydroponics,Anti-sweat technology,4,Yes
344,6,5,Conventional Farming,Socks that never get holes,6,Yes
645,3,2,Hydroponics,Sock bands that always stay up,2,No
905995,3,2,Hydroponics,Anti-sweat technology,2,No
711,5,5,Moonlight Harvest,Sock bands that always stay up,5,No
646,3,2,Organic,Socks that never get holes,3,No
679736,4,5,Organic,Anti-sweat technology,4,No
2198,4,5,Organic,Unsure,4,Yes
959217,3,3,Organic,Sock bands that always stay up,3,No
323,2,3,Hydroponics,Socks that change colour so you never wear mismatched socks again,3,No
250,4,6,Organic,Socks that never get holes,4,Yes
6217,4,4,Organic,Socks that change colour so you never wear mismatched socks again,4,Yes
83158,5,5,Moonlight Harvest,Sock bands that always stay up,6,Yes
160,2,2,Moonlight Harvest,Socks that never get holes,3,No
9901,6,6,Conventional Farming,Anti-sweat technology,6,Yes
930372,5,5,Moonlight Harvest,Anti-sweat technology,4,No
4548,4,5,Organic,Unsure,4,Yes
915786,5,6,Moonlight Harvest,Socks that never get holes,6,No
943,6,6,Organic,Anti-sweat technology,5,Yes
552790,6,5,Conventional Farming,Anti-sweat technology,5,Yes
1978,5,5,Moonlight Harvest,Socks that change colour so you never wear mismatched socks again,5,Yes
4909,6,6,Hydroponics,Anti-sweat technology,5,No
595,6,6,Conventional Farming,Socks that never get holes,5,Yes
79295,3,4,Organic,Unsure,3,Yes
44425,4,3,Hydroponics,Anti-sweat technology,4,No
16433,6,6,Conventional Farming,Anti-sweat technology,6,Yes
881,2,2,Organic,Anti-sweat technology,2,No
7197,3,4,Moonlight Harvest,Anti-sweat technology,3,No
37549,6,5,Conventional Farming,Anti-sweat technology,6,Yes
591,2,1,Hydroponics,Anti-sweat technology,4,Yes
400,4,4,Organic,Socks that never get holes,6,No
6417,5,5,Organic,Anti-sweat technology,6,No
7146,3,4,Organic,Anti-sweat technology,4,Yes
849,6,5,Organic,Socks that never get holes,5,Yes
194,5,5,Organic,Sock bands that always stay up,5,No
507649,4,4,Organic,Anti-sweat technology,4,No
920,4,4,Conventional Farming,Socks that never get holes,5,Yes
96596,4,3,Organic,Anti-sweat technology,3,No
946,3,2,Organic,Socks that change colour so you never wear mismatched socks again,2,No
692,6,6,Moonlight Harvest,Anti-sweat technology,5,Yes
31576,5,5,Organic,Unsure,5,Yes
758644,4,4,Hydroponics,Sock bands that always stay up,5,No
9309,5,5,Hydroponics,Anti-sweat technology,6,Yes
951,5,5,Organic,Anti-sweat technology,5,Yes
33246,6,5,Hydroponics,Sock bands that always stay up,5,Yes
852578,5,4,Conventional Farming,Anti-sweat technology,5,Yes
31163,5,5,Conventional Farming,Anti-sweat technology,5,Yes
3110,4,4,Moonlight Harvest,Anti-sweat technology,4,No
77933,6,6,Moonlight Harvest,Sock bands that always stay up,5,No
957875,3,2,Organic,Anti-sweat technology,2,No
1512,6,5,Conventional Farming,Anti-sweat technology,6,Yes
9232,3,4,Hydroponics,Anti-sweat technology,4,Yes
225,4,5,Organic,Anti-sweat technology,4,No
7323,5,5,Moonlight Harvest,Anti-sweat technology,6,Yes
991,3,2,Conventional Farming,Anti-sweat technology,2,No
179670,4,4,Hydroponics,Sock bands that always stay up,4,Yes
603853,1,1,Organic,Socks that change colour so you never wear mismatched socks again,2,No
662116,5,4,Hydroponics,Anti-sweat technology,5,Yes
330,4,5,Moonlight Harvest,Anti-sweat technology,4,No
671,3,2,Organic,Anti-sweat technology,3,No
9772,3,3,Hydroponics,Unsure,3,Yes
960207,6,7,Organic,Anti-sweat technology,6,Yes
26376,5,5,Hydroponics,Anti-sweat technology,6,Yes
16809,4,3,Moonlight Harvest,Socks that change colour so you never wear mismatched socks again,3,Yes
575207,2,3,Hydroponics,Socks that never get holes,3,No
277832,5,4,Organic,Anti-sweat technology,4,Yes
29144,4,4,Moonlight Harvest,Anti-sweat technology,4,Yes
1909,4,4,Hydroponics,Socks that never get holes,3,No
76404,3,3,Organic,Anti-sweat technology,3,Yes
2179,6,5,Organic,Anti-sweat technology,6,Yes
7729,4,5,Hydroponics,Anti-sweat technology,3,Yes
56362,4,3,Organic,Anti-sweat technology,4,Yes
3313,4,4,Hydroponics,Socks that never get holes,4,Yes
2590,6,5,Organic,Socks that never get holes,6,Yes
744416,6,5,Moonlight Harvest,Anti-sweat technology,5,Yes
88684,4,4,Organic,Anti-sweat technology,4,Yes
382816,5,6,Moonlight Harvest,Anti-sweat technology,5,Yes
259231,3,2,Moonlight Harvest,Socks that never get holes,3,Yes
4064,6,5,Organic,Unsure,5,Yes
70077,5,6,Conventional Farming,Anti-sweat technology,6,No
427120,4,4,Organic,Anti-sweat technology,5,Yes
417,2,3,Hydroponics,Unsure,4,No
6678,2,3,Organic,Anti-sweat technology,3,No
236,3,3,Organic,Anti-sweat technology,2,No
9924,6,4,Organic,Anti-sweat technology,5,Yes
122111,5,5,Organic,Anti-sweat technology,5,Yes
64416,4,4,Organic,Socks that never get holes,3,Yes
375109,5,4,Organic,Unsure,4,Yes
902907,3,2,Organic,Unsure,3,Yes
202137,2,2,Moonlight Harvest,Anti-sweat technology,2,No
57586,3,3,Moonlight Harvest,Anti-sweat technology,4,Yes
2111,5,6,Organic,Socks that change colour so you never wear mismatched socks again,5,Yes
46611,5,6,Organic,Sock bands that always stay up,5,Yes
5142,6,5,Organic,Sock bands that always stay up,6,Yes
30840,4,4,Organic,Sock bands that always stay up,4,Yes
34464,4,3,Moonlight Harvest,Anti-sweat technology,4,Yes
780805,3,2,Organic,Anti-sweat technology,3,No
5624,5,5,Conventional Farming,Socks that change colour so you never wear mismatched socks again,5,Yes
83839,5,6,Organic,Anti-sweat technology,6,Yes
4058,3,4,Organic,Socks that never get holes,3,Yes
303,2,2,Organic,Socks that never get holes,3,Yes
5849,5,5,Organic,Socks that change colour so you never wear mismatched socks again,5,Yes
520,5,4,Hydroponics,Anti-sweat technology,4,No
977,2,2,Organic,Socks that never get holes,2,No
864,3,3,Organic,Anti-sweat technology,3,No
28633,4,3,Organic,Anti-sweat technology,4,Yes
571667,6,5,Hydroponics,Anti-sweat technology,5,Yes
